order_item_id,order_id,product_id,user_id,quantity,item_price,item_total,order_date,order_status,total_amount,name,email,gender,city,signup_date,product_name,category,brand,price,rating,month,revenue
I00000001,O00000001,P001758,U009310,2,8.07,16.14,2025-09-09 14:52:37.292731,processing,689.66,Christine Snyder,john14@example.com,Female,Jonestown,2024-02-22,Everest Whole,Pet Supplies,Everest,8.07,2.69,2025-09,16.14
I00000002,O00000001,P001119,U009310,1,74.08,74.08,2025-09-09 14:52:37.292731,processing,689.66,Christine Snyder,john14@example.com,Female,Jonestown,2024-02-22,Nimbus Minute,Beauty,Nimbus,74.08,3.62,2025-09,74.08
I00000003,O00000001,P001794,U009310,1,576.97,576.97,2025-09-09 14:52:37.292731,processing,689.66,Christine Snyder,john14@example.com,Female,Jonestown,2024-02-22,Willow Treatment,Automotive,Willow,576.97,3.89,2025-09,576.97
I00000004,O00000001,P001038,U009310,1,22.47,22.47,2025-09-09 14:52:37.292731,processing,689.66,Christine Snyder,john14@example.com,Female,Jonestown,2024-02-22,Nimbus Deal,Books,Nimbus,22.47,4.85,2025-09,22.47
I00000005,O00000002,P000859,U003247,1,422.22,422.22,2025-04-15 01:18:27.193404,completed,1666.85,Ryan Valencia,stevensonanthony@example.net,Male,South Mary,2024-03-23,Pulse Decide,Electronics,Pulse,422.22,3.51,2025-04,422.22
I00000006,O00000002,P000803,U003247,1,953.03,953.03,2025-04-15 01:18:27.193404,completed,1666.85,Ryan Valencia,stevensonanthony@example.net,Male,South Mary,2024-03-23,GreenLeaf Item,Electronics,GreenLeaf,953.03,3.43,2025-04,953.03
I00000007,O00000002,P000324,U003247,1,60.11,60.11,2025-04-15 01:18:27.193404,completed,1666.85,Ryan Valencia,stevensonanthony@example.net,Male,South Mary,2024-03-23,Harbor Visit,Toys,Harbor,60.11,3.2,2025-04,60.11
I00000008,O00000002,P000454,U003247,1,231.49,231.49,2025-04-15 01:18:27.193404,completed,1666.85,Ryan Valencia,stevensonanthony@example.net,Male,South Mary,2024-03-23,Solace Different,Home & Kitchen,Solace,231.49,3.58,2025-04,231.49
I00000009,O00000003,P001344,U007252,1,103.47,103.47,2025-04-27 15:37:48.008624,processing,665.06,Tammy Fox,roberthenderson@example.org,Other,Wilsonton,2024-06-27,Orion Second,Pet Supplies,Orion,103.47,2.72,2025-04,103.47
I00000010,O00000003,P000919,U007252,1,33.99,33.99,2025-04-27 15:37:48.008624,processing,665.06,Tammy Fox,roberthenderson@example.org,Other,Wilsonton,2024-06-27,Willow Value,Toys,Willow,33.99,2.92,2025-04,33.99
I00000011,O00000003,P001030,U007252,2,263.8,527.6,2025-04-27 15:37:48.008624,processing,665.06,Tammy Fox,roberthenderson@example.org,Other,Wilsonton,2024-06-27,Acme Figure,Home & Kitchen,Acme,263.8,4.76,2025-04,527.6
I00000012,O00000004,P000684,U008986,1,26.34,26.34,2025-10-04 20:35:22.204857,cancelled,689.5,Kurt Howard,nancy40@example.org,Female,New Barbarafurt,2024-12-04,GreenLeaf Reveal,Groceries,GreenLeaf,26.34,3.76,2025-10,26.34
I00000013,O00000004,P001139,U008986,2,264.04,528.08,2025-10-04 20:35:22.204857,cancelled,689.5,Kurt Howard,nancy40@example.org,Female,New Barbarafurt,2024-12-04,Willow Past,Home & Kitchen,Willow,264.04,4.71,2025-10,528.08
I00000014,O00000004,P001247,U008986,2,67.54,135.08,2025-10-04 20:35:22.204857,cancelled,689.5,Kurt Howard,nancy40@example.org,Female,New Barbarafurt,2024-12-04,Nimbus When,Clothing,Nimbus,67.54,3.58,2025-10,135.08
I00000015,O00000005,P000637,U008537,1,4.87,4.87,2024-11-13 08:15:18.498252,cancelled,860.5,Kevin Krause,kyliechandler@example.net,Male,New Christophermouth,2025-03-12,Nimbus Everything,Pet Supplies,Nimbus,4.87,3.47,2024-11,4.87
I00000016,O00000005,P001684,U008537,1,728.97,728.97,2024-11-13 08:15:18.498252,cancelled,860.5,Kevin Krause,kyliechandler@example.net,Male,New Christophermouth,2025-03-12,Acme Anyone,Automotive,Acme,728.97,4.12,2024-11,728.97
I00000017,O00000005,P001599,U008537,2,63.33,126.66,2024-11-13 08:15:18.498252,cancelled,860.5,Kevin Krause,kyliechandler@example.net,Male,New Christophermouth,2025-03-12,Willow Report,Books,Willow,63.33,4.71,2024-11,126.66
I00000018,O00000006,P000054,U003449,3,435.87,1307.61,2024-10-13 09:02:26.848944,completed,2258.34,Mason Owens,wharris@example.org,Other,Danielfort,2025-05-17,GreenLeaf Hair,Automotive,GreenLeaf,435.87,4.04,2024-10,1307.61
I00000019,O00000006,P001002,U003449,3,209.1,627.3,2024-10-13 09:02:26.848944,completed,2258.34,Mason Owens,wharris@example.org,Other,Danielfort,2025-05-17,Harbor Night,Clothing,Harbor,209.1,3.68,2024-10,627.3
I00000020,O00000006,P001857,U003449,1,92.99,92.99,2024-10-13 09:02:26.848944,completed,2258.34,Mason Owens,wharris@example.org,Other,Danielfort,2025-05-17,GreenLeaf Improve,Toys,GreenLeaf,92.99,3.23,2024-10,92.99
I00000021,O00000006,P001940,U003449,2,115.22,230.44,2024-10-13 09:02:26.848944,completed,2258.34,Mason Owens,wharris@example.org,Other,Danielfort,2025-05-17,Acme Road,Sports,Acme,115.22,2.78,2024-10,230.44
I00000022,O00000007,P000004,U006985,1,541.41,541.41,2024-05-01 04:44:56.418188,returned,769.71,Kent Brown,nancyfernandez@example.org,Male,Melissaland,2025-05-07,Nimbus South,Electronics,Nimbus,541.41,4.14,2024-05,541.41
I00000023,O00000007,P000792,U006985,1,228.3,228.3,2024-05-01 04:44:56.418188,returned,769.71,Kent Brown,nancyfernandez@example.org,Male,Melissaland,2025-05-07,Zenith Might,Sports,Zenith,228.3,3.99,2024-05,228.3
